Bids Price,Bids Qty,Ask Price,Ask Qty
9292.13000000,0.79268200,9292.14000000,0.00000100
9292.11000000,0.07650800,9292.79000000,0.03423700
9292.09000000,0.07650800,9292.80000000,0.02655500
9292.07000000,0.09129100,9292.82000000,0.00764300
9292.06000000,0.50967000,9293.10000000,0.12016500
9292.04000000,0.11000000,9293.11000000,0.12012500
9292.03000000,0.76645400,9293.22000000,0.00635600
9291.98000000,3.65268100,9293.77000000,0.28004100
9291.97000000,0.01226900,9293.78000000,0.03000000
9291.82000000,0.10749500,9293.81000000,0.25000000
9291.72000000,0.08824900,9293.98000000,0.12012600
9291.14000000,0.05000000,9294.00000000,0.00574600
9291.08000000,1.31314300,9294.27000000,0.20000000
9291.07000000,0.01686400,9294.28000000,1.06360000
9291.00000000,2.53003300,9294.38000000,0.86359700
9290.46000000,0.01473200,9294.41000000,0.96700000
9290.38000000,0.00682400,9294.46000000,0.25000000
9290.30000000,1.26407500,9294.51000000,0.10750300
9290.29000000,0.21700000,9294.53000000,0.20000000
9290.24000000,0.08000000,9294.61000000,0.68000000
9290.22000000,0.96700000,9294.77000000,0.21524500
9290.07000000,1.56988500,9294.83000000,0.18665400
9290.05000000,0.30020200,9294.84000000,0.03000000
9290.03000000,0.11425600,9294.87000000,0.25000000
9290.00000000,1.18859400,9295.01000000,0.00645700
9289.95000000,0.98300000,9295.02000000,0.50788600
9289.85000000,1.10426000,9295.11000000,0.50000000
9289.79000000,0.04000000,9295.44000000,0.70718300
9289.77000000,1.06000000,9295.46000000,0.20000000
9289.59000000,0.50000000,9295.49000000,0.09014500
9289.51000000,0.10000000,9295.50000000,0.21700000
9289.16000000,1.32849100,9296.21000000,0.25000000
9289.15000000,0.29100000,9296.25000000,0.10762500
9289.12000000,0.21700000,9296.32000000,0.13591000
9289.07000000,0.04000000,9296.35000000,0.20000000
9289.03000000,2.76771000,9296.37000000,0.25000000
9289.02000000,0.10000000,9296.38000000,2.42003500
9289.00000000,0.00805800,9296.61000000,0.21700000
9288.90000000,0.08000000,9296.87000000,1.10268900
9288.88000000,2.00000000,9296.98000000,0.92401200
9288.81000000,0.80785300,9296.99000000,1.50000000
9288.80000000,0.50000000,9297.00000000,4.14506700
9288.52000000,0.32279400,9297.41000000,0.15000000
9288.34000000,1.00000000,9297.42000000,0.60000000
9288.25000000,0.16000300,9297.63000000,0.21700000
9288.22000000,0.30000000,9297.64000000,0.15150000
9288.02000000,0.10763300,9297.66000000,0.15150000
9288.01000000,0.21700000,9297.86000000,0.17142600
9287.96000000,0.50000000,9297.87000000,4.90000000
9287.90000000,0.21000000,9297.95000000,0.00113500
9287.81000000,1.10000000,9298.01000000,0.20161500
9287.77000000,0.05000000,9298.12000000,1.10000000
9287.47000000,0.25470000,9298.22000000,0.11692000
9287.27000000,0.01075700,9298.24000000,0.04053700
9287.24000000,1.50000000,9298.39000000,0.80746200
9287.19000000,0.80746200,9298.72000000,0.15150000
9287.16000000,0.14700000,9298.73000000,0.21700000
9286.95000000,0.10762200,9298.98000000,2.00000000
9286.94000000,0.30300000,9299.00000000,0.09906500
9286.90000000,0.21700000,9299.03000000,0.08800000
9286.88000000,0.01391300,9299.34000000,0.21000000
9286.74000000,0.01561400,9299.37000000,0.28800000
9286.68000000,0.06708100,9299.38000000,0.00306000
9286.25000000,0.04000000,9299.39000000,0.15300000
9286.18000000,0.00297000,9299.47000000,0.22852400
9286.17000000,0.16000000,9299.54000000,2.00000000
9286.15000000,0.18494900,9299.55000000,1.00000000
9285.88000000,0.21538000,9299.68000000,0.32259100
9285.79000000,0.21700000,9299.71000000,0.14850000
9285.71000000,0.00523500,9299.73000000,0.15000000
9285.25000000,1.00000000,9299.75000000,0.10761800
9285.13000000,1.01938800,9299.86000000,1.06000000
9285.03000000,0.08836900,9299.95000000,0.10000000
9285.02000000,0.03000000,9299.99000000,0.00692100
9285.00000000,0.09082300,9300.00000000,3.26971000
9284.95000000,0.14250000,9300.18000000,0.01359800
9284.86000000,4.90000000,9300.27000000,0.21700000
9284.85000000,0.01145000,9300.33000000,0.24000000
9284.83000000,0.23266700,9300.43000000,0.10800000
9284.80000000,0.00538500,9300.53000000,0.01076100
9284.79000000,0.03284900,9300.56000000,0.19336700
9284.71000000,0.25000000,9300.59000000,0.25000000
9284.68000000,0.54011300,9300.79000000,0.14850000
9284.67000000,4.84800000,9300.97000000,0.09346200
9284.63000000,0.10760800,9301.12000000,0.04000000
9284.60000000,0.15600000,9301.25000000,0.03225400
9284.52000000,0.15150000,9301.26000000,0.00291000
9284.47000000,0.22423500,9301.30000000,0.14850000
9284.34000000,0.09647100,9301.38000000,0.21700000
9284.30000000,3.22336400,9301.55000000,0.05597200
9284.15000000,0.07836000,9301.58000000,0.30600000
9284.14000000,0.11402000,9301.69000000,0.14550000
9284.10000000,0.00306000,9301.71000000,0.15300000
9284.09000000,0.01364300,9301.93000000,0.00261100
9284.06000000,0.05592900,9302.09000000,0.61739900
9284.04000000,0.11000000,9302.47000000,0.21499600
9284.00000000,0.00233000,9302.48000000,0.21700000
9283.94000000,0.03600000,9302.51000000,0.11900000
9283.88000000,0.14700000,9302.54000000,0.16839500
9283.77000000,0.02140000,9302.55000000,0.01375000
