hash,from,to,value,TxnFee(Ether)
0xb11f622f0f58d8648bd456d751329de27b402fbc974167cb468bbc260d966f57,0xa5194983d96f304a2a5df117a6b15b34ca92c10a,0xa4e7f59cbaf8f77ca6149859b536b6ecb4dda84e,1.8,0.002079
0x498abfd4aac86b970b54b6fea4fa32948a6838f33bedf6aae55eaf31c6acce94,0x7896f0cea889964c00fb47fcddf89eab42eb9df8,0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,0.77486213,0.004200000000000001
0x6c2624c8d08de2dcae7e131e5da5f4057afd70fbfe9088e7b60e41c0c1c3d641,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xe7f46a1788b76f258ef4e11c2dfc735e62daf4ed,0.095,0.001281
0xe743b8ff672308685ae2b53f34b3cb34678d7ff94011d95404f4b9297c4c3a45,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x4a70ec32e23883b02cecdad21e786e30defb90bc,0.1,0.001281
0x88e2afdd22ef7ab19d43d8c95654cda56fa88b0bc6b2a0b7391321c4b7feabd8,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x3ef064559d361628c5599020699b3a56dbabfe2f,0.41000000000000003,0.001281
0x9eeebef4022a01c526932ca7982301896a098743bd7d111d6d776638272ee9ce,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x2c25819f5ae56a9cc08e65992c8255c60be464ea,0.427163,0.001281
0x0ae3c6fd0ac8a494b4888d264a4e04b58a6d534b87e1b3ba35f99495ca6491e8,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0xc7b3c9278d3bbd8a3edf46da59bd81efbae622af,0.755,0.001281
0x78c4fc0aef8199cbcd23a32b1ac25696c480ec4c82a4c295b293e72ae260e71f,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xb8182989d14b332a109a737fb8a683928c0e4024,0.0,0.007500000000000001
0x419724291039b670a0b19a3a0f543b77984e0979469d52559f6b002cd8dc6b1a,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xc3605a3944a8ca4c64213a1a24921970ae0df525,0.0,0.007500000000000001
0x7e974e802b973c50f4421bb0443a564453b088974437365516a79bba80e73c80,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x34ba9496c67a3dca6ac337655388e732cdc6a4cc,0.0,0.007500000000000001
0xd5dbd66db8c9c503d3fa8a4154b15f12da673e57ef9a719122ed75363765f2c4,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x671575bc908a77acfec0b503bb4a590a7ee3f0b0,0.0,0.007500000000000001
0x9c5b7c20994c37c65239fe071057a06fac91b9b504c55d4a91e1d525e7e64e40,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xce273b31c0e93d74ad4effaf19c0edd8f128249f,0.0,0.007500000000000001
0x1b95b6fd39c93c73313847bd84c9786ff51e3fe290f36f3ae9d3a245fe13099f,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x09e4c71a5277119d372cc401b8b53571ddd147f3,0.0,0.007500000000000001
